ID,Variety,Domestication,Fertilization,Replication,Shoot_g,Root_g,Note
1,LA0716,Wild,Unfertilized,1,1.2084,0.1284,
2,LA0716,Wild,Unfertilized,2,1.9517,0.1737,
3,LA0716,Wild,Unfertilized,3,1.0628,0.0764,
4,LA0716,Wild,Unfertilized,4,1.0282,0.0649,
5,LA0716,Wild,Unfertilized,5,1.5849,0.1691,
6,LA0716,Wild,Unfertilized,6,1.295,0.1354,
7,LA0716,Wild,Unfertilized,7,0.9991,0.1311,
8,LA0716,Wild,Unfertilized,8,0.89,0.0419,
9,LA0716,Wild,Unfertilized,9,1.2012,0.094,
10,LA0716,Wild,Unfertilized,10,1.1907,0.1338,
11,LA0716,Wild,Fertilized,1,3.6127,0.2356,
12,LA0716,Wild,Fertilized,2,3.2685,0.218,
13,LA0716,Wild,Fertilized,3,3.9126,0.3428,
14,LA0716,Wild,Fertilized,4,,,Dead
15,LA0716,Wild,Fertilized,5,3.3,0.2483,
16,LA0716,Wild,Fertilized,6,,,Dead
17,LA0716,Wild,Fertilized,7,3.2393,0.1799,
18,LA0716,Wild,Fertilized,8,3.6426,0.3228,
19,LA0716,Wild,Fertilized,9,4.6336,0.2606,
20,LA0716,Wild,Fertilized,10,2.8166,0.1185,
21,LA1580,Wild,Unfertilized,1,0.3581,0.0885,
22,LA1580,Wild,Unfertilized,2,3.6539,0.6292,
23,LA1580,Wild,Unfertilized,3,1.2043,0.1913,
24,LA1580,Wild,Unfertilized,4,1.3165,0.1572,
25,LA1580,Wild,Unfertilized,5,1.1184,0.205,
26,LA1580,Wild,Unfertilized,6,0.5581,0.1174,
27,LA1580,Wild,Unfertilized,7,0.7599,0.1172,
28,LA1580,Wild,Unfertilized,8,4.3049,0.6941,
29,LA1580,Wild,Unfertilized,9,2.0601,0.3605,
30,LA1580,Wild,Unfertilized,10,0.9625,0.0933,
31,LA1580,Wild,Fertilized,1,5.8174,1.2639,
32,LA1580,Wild,Fertilized,2,3.6322,0.6678,
33,LA1580,Wild,Fertilized,3,3.0816,0.5527,
34,LA1580,Wild,Fertilized,4,6.3478,1.2177,
35,LA1580,Wild,Fertilized,5,4.159,0.7387,
36,LA1580,Wild,Fertilized,6,5.6822,0.983,
37,LA1580,Wild,Fertilized,7,0.5704,0.1235,
38,LA1580,Wild,Fertilized,8,0.7949,0.2636,
39,LA1580,Wild,Fertilized,9,6.396,0.7303,
40,LA1580,Wild,Fertilized,10,2.7083,0.4708,
41,LA1519,Wild,Unfertilized,1,5.2105,1.1735,
42,LA1519,Wild,Unfertilized,2,4.4158,0.7926,
43,LA1519,Wild,Unfertilized,3,4.7356,1.0951,
44,LA1519,Wild,Unfertilized,4,5.6522,1.0955,
45,LA1519,Wild,Unfertilized,5,3.2154,0.5744,
46,LA1519,Wild,Unfertilized,6,5.6603,1.7195,
47,LA1519,Wild,Unfertilized,7,4.6322,0.9946,
48,LA1519,Wild,Unfertilized,8,4.5772,0.7299,
49,LA1519,Wild,Unfertilized,9,3.1046,0.602,
50,LA1519,Wild,Unfertilized,10,2.847,0.4545,
51,LA1519,Wild,Fertilized,1,6.1616,1.4188,
52,LA1519,Wild,Fertilized,2,6.851,1.5889,
53,LA1519,Wild,Fertilized,3,6.5962,1.6014,
54,LA1519,Wild,Fertilized,4,4.9375,1.2163,
55,LA1519,Wild,Fertilized,5,7.0693,1.7295,
56,LA1519,Wild,Fertilized,6,6.9215,1.5203,
57,LA1519,Wild,Fertilized,7,6.0726,1.3603,
58,LA1519,Wild,Fertilized,8,5.1322,1.8358,
59,LA1519,Wild,Fertilized,9,5.2703,1.097,
60,LA1519,Wild,Fertilized,10,7.6272,1.7246,
61,LA1698,Wild,Unfertilized,1,2.5892,0.3937,
62,LA1698,Wild,Unfertilized,2,2.3255,0.4147,
63,LA1698,Wild,Unfertilized,3,2.4184,0.5841,
64,LA1698,Wild,Unfertilized,4,2.6468,0.4968,
65,LA1698,Wild,Unfertilized,5,2.5025,0.5625,
66,LA1698,Wild,Unfertilized,6,2.8953,0.454,
67,LA1698,Wild,Unfertilized,7,2.9172,0.6111,
68,LA1698,Wild,Unfertilized,8,3.0028,0.5307,
69,LA1698,Wild,Unfertilized,9,2.3136,0.3401,
70,LA1698,Wild,Unfertilized,10,2.6405,0.5583,
71,LA1698,Wild,Fertilized,1,4.6468,1.0534,
72,LA1698,Wild,Fertilized,2,5.6964,1.1171,
73,LA1698,Wild,Fertilized,3,4.7224,0.7196,
74,LA1698,Wild,Fertilized,4,3.3809,0.8743,
75,LA1698,Wild,Fertilized,5,5.4824,0.9958,
76,LA1698,Wild,Fertilized,6,6.5264,0.9487,
77,LA1698,Wild,Fertilized,7,4.397,1.1913,
78,LA1698,Wild,Fertilized,8,3.7241,0.8675,
79,LA1698,Wild,Fertilized,9,5.6271,1.1505,
80,LA1698,Wild,Fertilized,10,6.9224,0.9545,
81,Marglobe,Traditional,Unfertilized,1,4.9874,0.573,
82,Marglobe,Traditional,Unfertilized,2,5.625,1.0582,
83,Marglobe,Traditional,Unfertilized,3,5.1615,0.8151,
84,Marglobe,Traditional,Unfertilized,4,6.68,0.6727,
85,Marglobe,Traditional,Unfertilized,5,5.1019,0.5761,
86,Marglobe,Traditional,Unfertilized,6,3.4441,0.6311,
87,Marglobe,Traditional,Unfertilized,7,4.5578,0.7032,
88,Marglobe,Traditional,Unfertilized,8,5.5356,0.7736,
89,Marglobe,Traditional,Unfertilized,9,4.421,0.789,
90,Marglobe,Traditional,Unfertilized,10,6.9333,0.7971,
91,Marglobe,Traditional,Fertilized,1,8.7902,1.1743,
92,Marglobe,Traditional,Fertilized,2,6.8209,0.7392,
93,Marglobe,Traditional,Fertilized,3,4.5019,0.6104,
94,Marglobe,Traditional,Fertilized,4,9.7419,0.7697,
95,Marglobe,Traditional,Fertilized,5,9.3085,0.9962,
96,Marglobe,Traditional,Fertilized,6,8.8836,0.9898,
97,Marglobe,Traditional,Fertilized,7,7.8577,0.8803,
98,Marglobe,Traditional,Fertilized,8,9.1086,0.8031,
99,Marglobe,Traditional,Fertilized,9,6.8974,0.8052,
100,Marglobe,Traditional,Fertilized,10,7.5495,1.1729,
101,Matchless,Traditional,Unfertilized,1,3.0466,0.3354,
102,Matchless,Traditional,Unfertilized,2,6.9411,0.686,
103,Matchless,Traditional,Unfertilized,3,4.807,0.7343,
104,Matchless,Traditional,Unfertilized,4,5.7115,0.7912,
105,Matchless,Traditional,Unfertilized,5,2.9606,0.3888,
106,Matchless,Traditional,Unfertilized,6,6.6874,0.9218,
107,Matchless,Traditional,Unfertilized,7,4.7682,0.5872,
108,Matchless,Traditional,Unfertilized,8,5.9467,0.8292,
109,Matchless,Traditional,Unfertilized,9,5.4106,0.5989,
110,Matchless,Traditional,Unfertilized,10,6.5901,0.8755,
111,Matchless,Traditional,Fertilized,1,9.4014,0.636,
112,Matchless,Traditional,Fertilized,2,8.6054,0.9986,
113,Matchless,Traditional,Fertilized,3,8.4238,0.7548,
114,Matchless,Traditional,Fertilized,4,8.3692,0.9218,
115,Matchless,Traditional,Fertilized,5,9.0662,0.8962,
116,Matchless,Traditional,Fertilized,6,7.2341,0.6452,
117,Matchless,Traditional,Fertilized,7,8.5564,0.9344,
118,Matchless,Traditional,Fertilized,8,9.6528,0.8677,
119,Matchless,Traditional,Fertilized,9,7.9116,0.6681,
120,Matchless,Traditional,Fertilized,10,10.7981,1.199,
121,B Pink,Traditional,Unfertilized,1,5.0148,0.6157,
122,B Pink,Traditional,Unfertilized,2,3.9005,0.62,
123,B Pink,Traditional,Unfertilized,3,3.3711,0.4741,
124,B Pink,Traditional,Unfertilized,4,4.7145,0.4708,
125,B Pink,Traditional,Unfertilized,5,3.6032,0.503,
126,B Pink,Traditional,Unfertilized,6,3.3839,0.4262,
127,B Pink,Traditional,Unfertilized,7,5.1908,0.7999,
128,B Pink,Traditional,Unfertilized,8,6.0178,0.7421,
129,B Pink,Traditional,Unfertilized,9,4.6431,0.5587,
130,B Pink,Traditional,Unfertilized,10,4.4457,0.6122,
131,B Pink,Traditional,Fertilized,1,7.5728,0.9751,
132,B Pink,Traditional,Fertilized,2,6.8496,0.8162,
133,B Pink,Traditional,Fertilized,3,5.2708,0.5474,
134,B Pink,Traditional,Fertilized,4,6.3152,0.6216,
135,B Pink,Traditional,Fertilized,5,7.6961,0.7736,
136,B Pink,Traditional,Fertilized,6,6.0886,0.8566,
137,B Pink,Traditional,Fertilized,7,5.3779,0.6576,
