Well,Variety,Fertilization,Rep,Domestication,Olsen_P
B1,Bobcat,Fertilized,1,Modern,2.530949106
C1,Bobcat,Unfertilized,3,Modern,0.880330124
D1,Quali T,Fertilized,5,Modern,3.631361761
E1,Quali T,Unfertilized,7,Modern,2.255845942
F1,Line 1,Fertilized,9,Modern,4.181568088
G1,Line 2,Fertilized,1,Modern,3.356258597
B2,Bobcat,Fertilized,2,Modern,3.631361761
C2,Bobcat,Unfertilized,4,Modern,1.980742779
D2,Quali T,Fertilized,6,Modern,1.705639615
E2,Quali T,Unfertilized,8,Modern,2.255845942
F2,Line 1,Fertilized,10,Modern,4.731774415
G2,Line 2,Fertilized,2,Modern,2.80605227
B3,Bobcat,Fertilized,3,Modern,2.255845942
C3,Bobcat,Unfertilized,5,Modern,1.980742779
D3,Quali T,Fertilized,7,Modern,2.80605227
E3,Quali T,Unfertilized,9,Modern,1.705639615
F3,Line 1,Unfertilized,1,Modern,2.530949106
G3,Line 2,Fertilized,3,Modern,3.631361761
B4,Bobcat,Fertilized,4,Modern,2.255845942
C4,Bobcat,Unfertilized,6,Modern,0.880330124
D4,Quali T,Fertilized,8,Modern,2.530949106
E4,Quali T,Unfertilized,10,Modern,1.430536451
F4,Line 1,Unfertilized,2,Modern,1.705639615
G4,Line 2,Fertilized,4,Modern,2.530949106
B5,Bobcat,Fertilized,5,Modern,3.356258597
C5,Bobcat,Unfertilized,7,Modern,1.980742779
D5,Quali T,Fertilized,9,Modern,3.356258597
E5,Line 1,Fertilized,1,Modern,1.705639615
F5,Line 1,Unfertilized,3,Modern,1.430536451
G5,Line 2,Fertilized,5,Modern,5.557083906
B6,Bobcat,Fertilized,6,Modern,2.530949106
C6,Bobcat,Unfertilized,8,Modern,1.430536451
D6,Quali T,Fertilized,10,Modern,3.081155433
E6,Line 1,Fertilized,2,Modern,3.356258597
F6,Line 1,Unfertilized,4,Modern,1.155433287
G6,Line 2,Fertilized,6,Modern,3.356258597
B7,Bobcat,Fertilized,7,Modern,3.081155433
C7,Bobcat,Unfertilized,9,Modern,3.906464924
D7,Quali T,Unfertilized,1,Modern,1.980742779
E7,Line 1,Fertilized,3,Modern,2.255845942
F7,Line 1,Unfertilized,5,Modern,0.880330124
G7,Line 2,Fertilized,7,Modern,1.980742779
B8,Bobcat,Fertilized,8,Modern,2.530949106
C8,Bobcat,Unfertilized,10,Modern,1.430536451
D8,Quali T,Unfertilized,2,Modern,0.880330124
E8,Line 1,Fertilized,4,Modern,3.081155433
F8,Line 1,Unfertilized,6,Modern,0.60522696
G8,Line 2,Fertilized,8,Modern,2.530949106
B9,Bobcat,Fertilized,9,Modern,3.631361761
C9,Quali T,Fertilized,1,Modern,2.530949106
D9,Quali T,Unfertilized,3,Modern,2.530949106
E9,Line 1,Fertilized,5,Modern,3.081155433
F9,Line 1,Unfertilized,7,Modern,1.430536451
G9,Line 2,Fertilized,9,Modern,2.80605227
B10,Bobcat,Fertilized,10,Modern,1.430536451
C10,Quali T,Fertilized,2,Modern,3.906464924
D10,Quali T,Unfertilized,4,Modern,3.631361761
E10,Line 1,Fertilized,6,Modern,2.530949106
F10,Line 1,Unfertilized,8,Modern,1.430536451
G10,Line 2,Fertilized,10,Modern,3.081155433
B11,Bobcat,Unfertilized,1,Modern,0.880330124
C11,Quali T,Fertilized,3,Modern,1.705639615
D11,Quali T,Unfertilized,5,Modern,5.281980743
E11,Line 1,Fertilized,7,Modern,2.530949106
F11,Line 1,Unfertilized,9,Modern,1.705639615
G11,Line 2,Unfertilized,1,Modern,0.60522696
B12,Bobcat,Unfertilized,2,Modern,0.330123796
