Variety,Domestication,Fertilization,Rep,P_mg/kg,P_mg/g,P_Content_mg/shoot,Note
LA0716,Wild,Unfertilized,1,429.2931762,0.429293176,0.518757874,
LA0716,Wild,Unfertilized,2,481.3693321,0.481369332,0.939488525,
LA0716,Wild,Unfertilized,3,499.0343082,0.499034308,0.530373663,
LA0716,Wild,Unfertilized,4,421.6670955,0.421667096,0.433558108,
LA0716,Wild,Unfertilized,5,483.9279222,0.483927922,0.766977364,
LA0716,Wild,Unfertilized,6,520.5801909,0.520580191,0.674151347,
LA0716,Wild,Unfertilized,7,591.4732832,0.591473283,0.590940957,
LA0716,Wild,Unfertilized,8,627.9483298,0.62794833,0.558874014,
LA0716,Wild,Unfertilized,9,521.8494848,0.521849485,0.626845601,
LA0716,Wild,Unfertilized,10,476.1768875,0.476176888,0.56698382,
LA0716,Wild,Fertilized,1,3747.206,3.747206,13.53753112,
LA0716,Wild,Fertilized,2,1292.871,1.292871,4.225748864,
LA0716,Wild,Fertilized,3,1164.486,1.164486,4.556167924,
LA0716,Wild,Fertilized,4,,,,Dead
LA0716,Wild,Fertilized,5,1232.023,1.232023,4.0656759,
LA0716,Wild,Fertilized,6,,,,Dead
LA0716,Wild,Fertilized,7,988.5212,0.9885212,3.202116723,
LA0716,Wild,Fertilized,8,,,,Sample Broken During Digest
LA0716,Wild,Fertilized,9,1481.242,1.481242,6.863482931,
LA0716,Wild,Fertilized,10,2595.162132,2.595162132,7.309533661,
LA1580,Wild,Unfertilized,1,692.4240478,0.692424048,0.247957052,
LA1580,Wild,Unfertilized,2,,,,Sample Broken During Digest
LA1580,Wild,Unfertilized,3,1473.375563,1.473375563,1.774386191,
LA1580,Wild,Unfertilized,4,1151.125909,1.151125909,1.515457259,
LA1580,Wild,Unfertilized,5,1507.021073,1.507021073,1.685452368,
LA1580,Wild,Unfertilized,6,2052.351008,2.052351008,1.145417098,
LA1580,Wild,Unfertilized,7,1413.679345,1.413679345,1.074254934,
LA1580,Wild,Unfertilized,8,,,,Sample Broken During Digest
LA1580,Wild,Unfertilized,9,1325.909221,1.325909221,2.731505586,
LA1580,Wild,Unfertilized,10,1657.69522,1.65769522,1.595531649,
LA1580,Wild,Fertilized,1,1661.032386,1.661032386,9.662889802,
LA1580,Wild,Fertilized,2,3672.952283,3.672952283,13.34089728,
LA1580,Wild,Fertilized,3,3885.493759,3.885493759,11.97353757,
LA1580,Wild,Fertilized,4,2576.262945,2.576262945,16.35360192,
LA1580,Wild,Fertilized,5,2970.897187,2.970897187,12.3559614,
LA1580,Wild,Fertilized,6,3097.273612,3.097273612,17.59932812,
LA1580,Wild,Fertilized,7,1670.406948,1.670406948,0.952800123,
